"Tracking Number","Amount Receivables","Amount Received","Outstanding Amount","Deposit Date","Company Name","Order Number","City Name","Delivery Date","Reporting Days"
5005648494,642.00,484.00,158.00,"2018-07-26 00:00:00",TCS,324782362,karachi,"2018-07-10 00:00:00",+57
5005651880,399.50,242.00,157.50,"2018-07-26 00:00:00",TCS,366992492,karachi,"2018-07-11 00:00:00",+56
5005654099,319.50,141.00,178.50,"2018-07-26 00:00:00",TCS,339953492,karachi,"2018-07-14 00:00:00",+53
5005650447,565.33,386.00,179.33,"2018-07-26 00:00:00",TCS,331421362,karachi,"2018-07-10 00:00:00",+57
5005652236,1503.83,1346.00,157.83,"2018-07-26 00:00:00",TCS,345599492,karachi,"2018-07-12 00:00:00",+55
5005651051,213.88,35.00,178.88,"2018-07-26 00:00:00",TCS,388584492,karachi,"2018-07-12 00:00:00",+55
5005652636,598.00,440.00,158.00,"2018-07-26 00:00:00",TCS,398918492,karachi,"2018-07-14 00:00:00",+53
5005646273,1144.00,986.00,158.00,"2018-07-30 00:00:00",TCS,352632162,karachi,"2018-07-04 00:00:00",+63
5005647252,495.99,353.00,142.99,"2018-07-30 00:00:00",TCS,349795162,karachi,"2018-07-04 00:00:00",+63
5005654533,2565.33,2190.00,375.33,"2018-07-26 00:00:00",TCS,394544292,karachi,"2018-07-16 00:00:00",+51
5005655045,1039.80,861.00,178.80,"2018-07-26 00:00:00",TCS,339852292,karachi,"2018-07-17 00:00:00",+50
5005652991,904.86,530.00,374.86,"2018-07-26 00:00:00",TCS,345277492,karachi,"2018-07-13 00:00:00",+54
5005655611,365.33,186.00,179.33,"2018-07-26 00:00:00",TCS,366576292,karachi,"2018-07-17 00:00:00",+50
5005653395,200.00,42.00,158.00,"2018-07-26 00:00:00",TCS,399125492,karachi,"2018-07-13 00:00:00",+54
5005645418,272.08,114.00,158.08,"2018-07-30 00:00:00",TCS,399262162,karachi,"2018-07-04 00:00:00",+63
5004756348,1299.00,1140.00,159.00,"2018-07-26 00:00:00",TCS,397545492,karachi,"2018-07-12 00:00:00",+55
5005651544,1269.60,1003.00,266.60,"2018-07-26 00:00:00",TCS,335114492,karachi,"2018-07-11 00:00:00",+56
5005653771,2095.00,1937.00,158.00,"2018-07-26 00:00:00",TCS,396175492,karachi,"2018-07-14 00:00:00",+53
5005649090,2448.00,2269.00,179.00,"2018-07-26 00:00:00",TCS,333512362,karachi,"2018-07-10 00:00:00",+57
5005651959,339.80,182.00,157.80,"2018-07-26 00:00:00",TCS,381412492,karachi,"2018-07-14 00:00:00",+53
5005654148,998.00,840.00,158.00,"2018-07-26 00:00:00",TCS,397111492,karachi,"2018-07-14 00:00:00",+53
5005650573,918.00,739.00,179.00,"2018-07-26 00:00:00",TCS,353215362,karachi,"2018-07-11 00:00:00",+56
5005652297,1235.13,1077.00,158.13,"2018-07-26 00:00:00",TCS,383499492,karachi,"2018-07-14 00:00:00",+53
5005651112,920.00,762.00,158.00,"2018-07-26 00:00:00",TCS,379142492,karachi,"2018-07-11 00:00:00",+56
5005652695,539.00,381.00,158.00,"2018-07-26 00:00:00",TCS,384838492,karachi,"2018-07-13 00:00:00",+54
5005646482,1140.00,982.00,158.00,"2018-07-30 00:00:00",TCS,344988162,karachi,"2018-07-04 00:00:00",+63
5005654625,225.09,46.00,179.09,"2018-07-26 00:00:00",TCS,358884292,karachi,"2018-07-17 00:00:00",+50
5005655136,844.00,665.00,179.00,"2018-07-26 00:00:00",TCS,373846292,karachi,"2018-07-16 00:00:00",+51
5005653054,326.34,39.00,287.34,"2018-07-26 00:00:00",TCS,336357492,karachi,"2018-07-14 00:00:00",+53
5005655774,898.27,631.00,267.27,"2018-07-26 00:00:00",TCS,368419292,karachi,"2018-07-17 00:00:00",+50
5005653466,381.10,223.00,158.10,"2018-07-26 00:00:00",TCS,375275492,karachi,"2018-07-12 00:00:00",+55
5005645597,366.33,208.00,158.33,"2018-07-30 00:00:00",TCS,364966162,karachi,"2018-07-04 00:00:00",+63
5004756401,299.00,12.00,287.00,"2018-07-26 00:00:00",TCS,384883492,karachi,"2018-07-15 00:00:00",+52
5005651636,244.00,86.00,158.00,"2018-07-26 00:00:00",TCS,358226492,karachi,"2018-07-12 00:00:00",+55
5005653820,389.80,123.00,266.80,"2018-07-26 00:00:00",TCS,385391492,karachi,"2018-07-14 00:00:00",+53
5005649576,1698.00,1106.00,592.00,"2018-07-26 00:00:00",TCS,394229362,karachi,"2018-07-11 00:00:00",+56
5005652012,1310.68,1132.00,178.68,"2018-07-26 00:00:00",TCS,355893362,karachi,"2018-07-11 00:00:00",+56
5005654203,289.00,131.00,158.00,"2018-07-26 00:00:00",TCS,399553492,karachi,"2018-07-14 00:00:00",+53
5005650708,598.00,440.00,158.00,"2018-07-26 00:00:00",TCS,389423362,karachi,"2018-07-11 00:00:00",+56
5005652363,1049.00,891.00,158.00,"2018-07-26 00:00:00",TCS,377779492,karachi,"2018-07-14 00:00:00",+53
5005651187,344.00,186.00,158.00,"2018-07-26 00:00:00",TCS,382942492,karachi,"2018-07-12 00:00:00",+55
5005652747,594.00,415.00,179.00,"2018-07-26 00:00:00",TCS,328222492,karachi,"2018-07-13 00:00:00",+54
5005646694,523.14,344.00,179.14,"2018-07-30 00:00:00",TCS,367818162,karachi,"2018-07-04 00:00:00",+63
5005654688,414.00,256.00,158.00,"2018-07-26 00:00:00",TCS,372614292,karachi,"2018-07-18 00:00:00",+49
5005655196,188.50,30.00,158.50,"2018-07-26 00:00:00",TCS,399632292,karachi,"2018-07-17 00:00:00",+50
5005653116,398.12,240.00,158.12,"2018-07-26 00:00:00",TCS,371537492,karachi,"2018-07-18 00:00:00",+49
5005655946,2244.00,2086.00,158.00,"2018-07-26 00:00:00",TCS,373469292,karachi,"2018-07-17 00:00:00",+50
5005653538,365.33,207.00,158.33,"2018-07-26 00:00:00",TCS,388641492,karachi,"2018-07-14 00:00:00",+53
5005645734,406.33,227.00,179.33,"2018-07-30 00:00:00",TCS,371429162,karachi,"2018-07-04 00:00:00",+63
5004756477,1399.00,1132.00,267.00,"2018-07-26 00:00:00",TCS,349372292,karachi,"2018-07-16 00:00:00",+51
5005651698,829.00,671.00,158.00,"2018-07-26 00:00:00",TCS,375272492,karachi,"2018-07-11 00:00:00",+56
5005653892,905.64,294.00,611.64,"2018-07-26 00:00:00",TCS,317111492,karachi,"2018-07-13 00:00:00",+54
5005649952,2439.80,2282.00,157.80,"2018-07-26 00:00:00",TCS,343778362,karachi,"2018-07-10 00:00:00",+57
5005652066,494.00,315.00,179.00,"2018-07-26 00:00:00",TCS,362214492,karachi,"2018-07-11 00:00:00",+56
5005654275,1837.80,1680.00,157.80,"2018-07-26 00:00:00",TCS,387773492,karachi,"2018-07-14 00:00:00",+53
5005650836,179.33,0.00,179.33,"2018-07-26 00:00:00",TCS,374193362,karachi,"2018-07-12 00:00:00",+55
5005652426,368.10,210.00,158.10,"2018-07-26 00:00:00",TCS,375439492,karachi,"2018-07-13 00:00:00",+54
5005651265,688.80,531.00,157.80,"2018-07-26 00:00:00",TCS,346614492,karachi,"2018-07-11 00:00:00",+56
5005652799,2709.85,2118.00,591.85,"2018-07-26 00:00:00",TCS,377758492,karachi,"2018-07-16 00:00:00",+51
5005645115,344.50,201.00,143.50,"2018-07-30 00:00:00",TCS,371664162,karachi,"2018-07-04 00:00:00",+63
5005654780,844.00,665.00,179.00,"2018-07-26 00:00:00",TCS,388614292,karachi,"2018-07-16 00:00:00",+51
5005655247,257.90,79.00,178.90,"2018-07-26 00:00:00",TCS,343946292,karachi,"2018-07-14 00:00:00",+53
5005653185,865.33,707.00,158.33,"2018-07-26 00:00:00",TCS,379157492,karachi,"2018-07-13 00:00:00",+54
5005656307,460.17,302.00,158.17,"2018-07-26 00:00:00",TCS,375497292,karachi,"2018-07-17 00:00:00",+50
5005653598,665.33,507.00,158.33,"2018-07-26 00:00:00",TCS,393565492,karachi,"2018-07-16 00:00:00",+51
5005645853,802.63,645.00,157.63,"2018-07-30 00:00:00",TCS,386726162,karachi,"2018-07-04 00:00:00",+63
5004756612,1263.18,1104.00,159.18,"2018-07-26 00:00:00",TCS,317861292,karachi,"2018-07-17 00:00:00",+50
5005651756,666.33,508.00,158.33,"2018-07-26 00:00:00",TCS,384872492,karachi,"2018-07-12 00:00:00",+55
5005653960,481.58,324.00,157.58,"2018-07-26 00:00:00",TCS,396223492,karachi,"2018-07-14 00:00:00",+53
5005650156,795.00,616.00,179.00,"2018-07-26 00:00:00",TCS,367797362,karachi,"2018-07-10 00:00:00",+57
5005652125,1057.90,466.00,591.90,"2018-07-26 00:00:00",TCS,386676492,karachi,"2018-07-11 00:00:00",+56
5005654331,1199.00,1041.00,158.00,"2018-07-26 00:00:00",TCS,387663492,karachi,"2018-07-14 00:00:00",+53
5005650919,255.00,76.00,179.00,"2018-07-26 00:00:00",TCS,345733362,karachi,"2018-07-11 00:00:00",+56
5005652505,565.33,386.00,179.33,"2018-07-26 00:00:00",TCS,365268492,karachi,"2018-07-12 00:00:00",+55
5005651339,608.80,430.00,178.80,"2018-07-26 00:00:00",TCS,348932492,karachi,"2018-07-12 00:00:00",+55
5005652851,239.00,81.00,158.00,"2018-07-26 00:00:00",TCS,394158492,karachi,"2018-07-12 00:00:00",+55
5005646003,379.83,222.00,157.83,"2018-07-30 00:00:00",TCS,389636162,karachi,"2018-07-04 00:00:00",+63
5005645624,144.61,2.00,142.61,"2018-07-30 00:00:00",TCS,362236162,karachi,"2018-07-04 00:00:00",+63
5005654885,734.00,576.00,158.00,"2018-07-26 00:00:00",TCS,374262292,karachi,"2018-07-16 00:00:00",+51
5005655342,384.00,205.00,179.00,"2018-07-26 00:00:00",TCS,342196292,karachi,"2018-07-17 00:00:00",+50
5005653248,370.17,83.00,287.17,"2018-07-26 00:00:00",TCS,361895492,karachi,"2018-07-14 00:00:00",+53
5004756215,229.00,70.00,159.00,"2018-07-30 00:00:00",TCS,344334162,karachi,"2018-07-03 00:00:00",+64
5005653662,534.00,376.00,158.00,"2018-07-26 00:00:00",TCS,392455492,karachi,"2018-07-14 00:00:00",+53
5005647321,844.00,665.00,179.00,"2018-07-26 00:00:00",TCS,386957162,karachi,"2018-07-14 00:00:00",+53
5005651817,1797.50,1640.00,157.50,"2018-07-26 00:00:00",TCS,389192492,karachi,"2018-07-11 00:00:00",+56
5005654028,344.50,165.00,179.50,"2018-07-26 00:00:00",TCS,338231492,karachi,"2018-07-17 00:00:00",+50
5005650337,844.00,665.00,179.00,"2018-07-26 00:00:00",TCS,344441362,karachi,"2018-07-11 00:00:00",+56
5005652190,339.00,181.00,158.00,"2018-07-26 00:00:00",TCS,389386492,karachi,"2018-07-11 00:00:00",+56
5005650997,194.75,37.00,157.75,"2018-07-26 00:00:00",TCS,372784492,karachi,"2018-07-11 00:00:00",+56
5005652572,1174.00,1016.00,158.00,"2018-07-26 00:00:00",TCS,359168492,karachi,"2018-07-12 00:00:00",+55
5005651422,498.50,340.00,158.50,"2018-07-26 00:00:00",TCS,392882492,karachi,"2018-07-11 00:00:00",+56
5005652910,288.00,130.00,158.00,"2018-07-26 00:00:00",TCS,371167492,karachi,"2018-07-12 00:00:00",+55
5005646167,290.78,133.00,157.78,"2018-07-30 00:00:00",TCS,372286162,karachi,"2018-07-04 00:00:00",+63
5005646078,879.50,737.00,142.50,"2018-07-30 00:00:00",TCS,399119162,karachi,"2018-07-04 00:00:00",+63
5005654456,432.17,253.00,179.17,"2018-07-26 00:00:00",TCS,398224292,karachi,"2018-07-14 00:00:00",+53
5005654979,445.00,287.00,158.00,"2018-07-26 00:00:00",TCS,396334292,karachi,"2018-07-16 00:00:00",+51
5005652946,1179.50,1022.00,157.50,"2018-07-26 00:00:00",TCS,375767492,karachi,"2018-07-13 00:00:00",+54
5005655442,1144.00,986.00,158.00,"2018-07-26 00:00:00",TCS,385216292,karachi,"2018-07-17 00:00:00",+50
5005653328,169.75,12.00,157.75,"2018-07-26 00:00:00",TCS,386417492,karachi,"2018-07-14 00:00:00",+53
5005644971,940.00,761.00,179.00,"2018-07-30 00:00:00",TCS,393564162,karachi,"2018-07-04 00:00:00",+63
5004756275,249.00,91.00,158.00,"2018-07-26 00:00:00",TCS,384254492,karachi,"2018-07-11 00:00:00",+56
5005651473,844.00,686.00,158.00,"2018-07-26 00:00:00",TCS,376622492,karachi,"2018-07-17 00:00:00",+50
5005653721,349.00,191.00,158.00,"2018-07-26 00:00:00",TCS,381358492,karachi,"2018-07-13 00:00:00",+54
5005648620,438.80,281.00,157.80,"2018-07-26 00:00:00",TCS,399662362,karachi,"2018-07-09 00:00:00",+58
5005651888,733.17,575.00,158.17,"2018-07-26 00:00:00",TCS,332396492,karachi,"2018-07-11 00:00:00",+56
5005654103,805.00,647.00,158.00,"2018-07-26 00:00:00",TCS,398411492,karachi,"2018-07-14 00:00:00",+53
5005650466,645.00,466.00,179.00,"2018-07-26 00:00:00",TCS,353251362,karachi,"2018-07-11 00:00:00",+56
5005652241,1125.00,533.00,592.00,"2018-07-26 00:00:00",TCS,372676492,karachi,"2018-07-11 00:00:00",+56
5005651058,225.00,67.00,158.00,"2018-07-26 00:00:00",TCS,323234492,karachi,"2018-07-10 00:00:00",+57
5005652643,339.80,182.00,157.80,"2018-07-26 00:00:00",TCS,382668492,karachi,"2018-07-14 00:00:00",+53
5005646290,996.68,405.00,591.68,"2018-07-30 00:00:00",TCS,376616162,karachi,"2018-07-04 00:00:00",+63
5005654541,1198.50,1019.00,179.50,"2018-07-26 00:00:00",TCS,399344292,karachi,"2018-07-14 00:00:00",+53
5005655050,1248.00,1090.00,158.00,"2018-07-26 00:00:00",TCS,394672292,karachi,"2018-07-17 00:00:00",+50
5005652995,998.00,859.00,139.00,"2018-07-26 00:00:00",TCS,372267492,karachi,"2018-07-17 00:00:00",+50
5005655625,1245.00,1066.00,179.00,"2018-07-26 00:00:00",TCS,357862292,karachi,"2018-07-17 00:00:00",+50
5005653401,598.00,440.00,158.00,"2018-07-26 00:00:00",TCS,395945492,karachi,"2018-07-13 00:00:00",+54
5005645433,1315.33,1136.00,179.33,"2018-07-30 00:00:00",TCS,392696162,karachi,"2018-07-04 00:00:00",+63
5004756351,229.00,70.00,159.00,"2018-07-26 00:00:00",TCS,313925492,karachi,"2018-07-12 00:00:00",+55
5005651551,460.00,302.00,158.00,"2018-07-26 00:00:00",TCS,389252492,karachi,"2018-07-11 00:00:00",+56
5005653776,464.00,285.00,179.00,"2018-07-26 00:00:00",TCS,317581492,karachi,"2018-07-13 00:00:00",+54
5005649199,1723.54,1457.00,266.54,"2018-07-26 00:00:00",TCS,396156362,karachi,"2018-07-11 00:00:00",+56
5005651971,389.00,231.00,158.00,"2018-07-26 00:00:00",TCS,384433362,karachi,"2018-07-11 00:00:00",+56
5005654153,288.30,130.00,158.30,"2018-07-26 00:00:00",TCS,384823492,karachi,"2018-07-14 00:00:00",+53
5005650582,498.00,340.00,158.00,"2018-07-26 00:00:00",TCS,391391362,karachi,"2018-07-11 00:00:00",+56
5005652305,1462.44,1304.00,158.44,"2018-07-26 00:00:00",TCS,397789492,karachi,"2018-07-11 00:00:00",+56
5005651118,994.00,815.00,179.00,"2018-07-26 00:00:00",TCS,352742492,karachi,"2018-07-11 00:00:00",+56
5005652702,1299.00,1141.00,158.00,"2018-07-26 00:00:00",TCS,397718492,karachi,"2018-07-14 00:00:00",+53
5005646497,273.27,115.00,158.27,"2018-07-30 00:00:00",TCS,397496162,karachi,"2018-07-04 00:00:00",+63
5005654628,1383.17,1204.00,179.17,"2018-07-26 00:00:00",TCS,371774292,karachi,"2018-07-14 00:00:00",+53
5005655140,983.11,825.00,158.11,"2018-07-26 00:00:00",TCS,388482292,karachi,"2018-07-16 00:00:00",+51
5005653063,724.50,566.00,158.50,"2018-07-26 00:00:00",TCS,371517492,karachi,"2018-07-14 00:00:00",+53
5005655783,789.99,523.00,266.99,"2018-07-26 00:00:00",TCS,345359292,karachi,"2018-07-17 00:00:00",+50
5005653470,189.80,32.00,157.80,"2018-07-26 00:00:00",TCS,352215492,karachi,"2018-07-14 00:00:00",+53
5005645604,1098.00,506.00,592.00,"2018-07-30 00:00:00",TCS,394116162,karachi,"2018-07-04 00:00:00",+63
5004756406,399.00,132.00,267.00,"2018-07-26 00:00:00",TCS,375533492,karachi,"2018-07-17 00:00:00",+50
5005651640,697.50,540.00,157.50,"2018-07-26 00:00:00",TCS,379456492,karachi,"2018-07-11 00:00:00",+56
5005653830,238.50,59.00,179.50,"2018-07-26 00:00:00",TCS,348271492,karachi,"2018-07-14 00:00:00",+53
5005649639,275.00,96.00,179.00,"2018-07-26 00:00:00",TCS,386968362,karachi,"2018-07-11 00:00:00",+56
5005652015,944.00,786.00,158.00,"2018-07-26 00:00:00",TCS,359849492,karachi,"2018-07-11 00:00:00",+56
5005654211,1044.00,865.00,179.00,"2018-07-26 00:00:00",TCS,326731492,karachi,"2018-07-14 00:00:00",+53
5005650716,362.33,183.00,179.33,"2018-07-26 00:00:00",TCS,397421362,karachi,"2018-07-16 00:00:00",+51
5005652366,2832.66,2654.00,178.66,"2018-07-26 00:00:00",TCS,371359492,karachi,"2018-07-11 00:00:00",+56
5005651195,765.33,607.00,158.33,"2018-07-26 00:00:00",TCS,389492492,karachi,"2018-07-11 00:00:00",+56
5005652750,1495.00,1337.00,158.00,"2018-07-26 00:00:00",TCS,389448492,karachi,"2018-07-12 00:00:00",+55
5005646714,389.00,231.00,158.00,"2018-07-30 00:00:00",TCS,378788162,karachi,"2018-07-04 00:00:00",+63
5005654697,338.00,180.00,158.00,"2018-07-26 00:00:00",TCS,337614292,karachi,"2018-07-14 00:00:00",+53
5005655201,498.50,340.00,158.50,"2018-07-26 00:00:00",TCS,372172292,karachi,"2018-07-16 00:00:00",+51
5005653124,794.00,310.00,484.00,"2018-07-26 00:00:00",TCS,353137492,karachi,"2018-07-14 00:00:00",+53
5005655954,493.55,227.00,266.55,"2018-07-26 00:00:00",TCS,324948292,karachi,"2018-07-17 00:00:00",+50
5005653544,2144.00,1423.00,721.00,"2018-07-26 00:00:00",TCS,353635492,karachi,"2018-07-13 00:00:00",+54
5005645738,644.00,465.00,179.00,"2018-07-30 00:00:00",TCS,345769162,karachi,"2018-07-04 00:00:00",+63
5004756483,3098.00,2831.00,267.00,"2018-07-26 00:00:00",TCS,378896292,karachi,"2018-07-16 00:00:00",+51
5005651702,244.31,86.00,158.31,"2018-07-26 00:00:00",TCS,334486492,karachi,"2018-07-13 00:00:00",+54
5005653898,494.00,336.00,158.00,"2018-07-26 00:00:00",TCS,374431492,karachi,"2018-07-14 00:00:00",+53
5005649987,1104.00,492.00,612.00,"2018-07-26 00:00:00",TCS,384818362,karachi,"2018-07-11 00:00:00",+56
5005652074,1048.75,891.00,157.75,"2018-07-26 00:00:00",TCS,389166492,karachi,"2018-07-11 00:00:00",+56
5005654284,1194.50,907.00,287.50,"2018-07-26 00:00:00",TCS,331487492,karachi,"2018-07-14 00:00:00",+53
5005650839,949.00,791.00,158.00,"2018-07-26 00:00:00",TCS,373773362,karachi,"2018-07-12 00:00:00",+55
5005652434,998.50,840.00,158.50,"2018-07-26 00:00:00",TCS,393948492,karachi,"2018-07-13 00:00:00",+54
5005651268,349.90,171.00,178.90,"2018-07-26 00:00:00",TCS,369114492,karachi,"2018-07-11 00:00:00",+56
5005652805,2684.00,2526.00,158.00,"2018-07-26 00:00:00",TCS,374827492,karachi,"2018-07-12 00:00:00",+55
5005645201,2970.00,2827.00,143.00,"2018-07-30 00:00:00",TCS,363724162,karachi,"2018-07-04 00:00:00",+63
5005654800,994.00,727.00,267.00,"2018-07-26 00:00:00",TCS,385134292,karachi,"2018-07-17 00:00:00",+50
5005655255,383.83,205.00,178.83,"2018-07-26 00:00:00",TCS,318532292,karachi,"2018-07-16 00:00:00",+51
5005653189,464.00,306.00,158.00,"2018-07-26 00:00:00",TCS,374425492,karachi,"2018-07-14 00:00:00",+53
5005656406,2305.02,1604.00,701.02,"2018-07-26 00:00:00",TCS,337287292,karachi,"2018-07-17 00:00:00",+50
5005653604,594.00,436.00,158.00,"2018-07-26 00:00:00",TCS,374775492,karachi,"2018-07-13 00:00:00",+54
5005645873,1197.00,585.00,612.00,"2018-07-30 00:00:00",TCS,315459162,karachi,"2018-07-03 00:00:00",+64
5004756634,229.00,70.00,159.00,"2018-07-26 00:00:00",TCS,346433292,karachi,"2018-07-18 00:00:00",+49
5005651763,693.00,535.00,158.00,"2018-07-26 00:00:00",TCS,377856492,karachi,"2018-07-12 00:00:00",+55
5005653969,2599.00,2007.00,592.00,"2018-07-26 00:00:00",TCS,395421492,karachi,"2018-07-14 00:00:00",+53
5005650179,615.33,23.00,592.33,"2018-07-26 00:00:00",TCS,373385362,karachi,"2018-07-16 00:00:00",+51
5005652131,239.80,61.00,178.80,"2018-07-26 00:00:00",TCS,348354492,karachi,"2018-07-12 00:00:00",+55
5005654337,695.33,537.00,158.33,"2018-07-26 00:00:00",TCS,376413492,karachi,"2018-07-14 00:00:00",+53
5005650934,1244.00,977.00,267.00,"2018-07-26 00:00:00",TCS,375944492,karachi,"2018-07-12 00:00:00",+55
5005652514,795.00,311.00,484.00,"2018-07-26 00:00:00",TCS,385129492,karachi,"2018-07-12 00:00:00",+55
5005651342,243.21,85.00,158.21,"2018-07-26 00:00:00",TCS,384722492,karachi,"2018-07-11 00:00:00",+56
5005652855,765.33,607.00,158.33,"2018-07-26 00:00:00",TCS,376318492,karachi,"2018-07-14 00:00:00",+53
5005650945,629.60,472.00,157.60,"2018-07-26 00:00:00",TCS,386124492,karachi,"2018-07-12 00:00:00",+55
5005652521,223.76,66.00,157.76,"2018-07-26 00:00:00",TCS,338568492,karachi,"2018-07-12 00:00:00",+55
5005651352,1096.80,939.00,157.80,"2018-07-26 00:00:00",TCS,341932492,karachi,"2018-07-12 00:00:00",+55
5005652858,320.00,162.00,158.00,"2018-07-26 00:00:00",TCS,388967492,karachi,"2018-07-13 00:00:00",+54
5005646015,644.00,377.00,267.00,"2018-07-30 00:00:00",TCS,373959162,karachi,"2018-07-03 00:00:00",+64
5005645645,315.33,172.00,143.33,"2018-07-30 00:00:00",TCS,397746162,karachi,"2018-07-04 00:00:00",+63
5005654888,318.75,161.00,157.75,"2018-07-26 00:00:00",TCS,388164292,karachi,"2018-07-17 00:00:00",+50
5005655361,1444.00,1286.00,158.00,"2018-07-26 00:00:00",TCS,375244292,karachi,"2018-07-16 00:00:00",+51
5005653263,565.33,386.00,179.33,"2018-07-26 00:00:00",TCS,394985492,karachi,"2018-07-15 00:00:00",+52
5004756225,549.00,282.00,267.00,"2018-07-30 00:00:00",TCS,366914162,karachi,"2018-07-03 00:00:00",+64
5005653666,199.75,42.00,157.75,"2018-07-26 00:00:00",TCS,383221492,karachi,"2018-07-14 00:00:00",+53
5005647529,1765.33,1607.00,158.33,"2018-07-26 00:00:00",TCS,321471162,karachi,"2018-07-09 00:00:00",+58
5005651823,2251.80,2094.00,157.80,"2018-07-26 00:00:00",TCS,387252492,karachi,"2018-07-11 00:00:00",+56
5005654033,169.11,11.00,158.11,"2018-07-26 00:00:00",TCS,396863492,karachi,"2018-07-14 00:00:00",+53
5005650346,1101.68,923.00,178.68,"2018-07-26 00:00:00",TCS,368681362,karachi,"2018-07-11 00:00:00",+56
5005652195,479.50,301.00,178.50,"2018-07-26 00:00:00",TCS,329842492,karachi,"2018-07-11 00:00:00",+56
5005651001,498.50,340.00,158.50,"2018-07-26 00:00:00",TCS,381343362,karachi,"2018-07-11 00:00:00",+56
5005652581,715.00,123.00,592.00,"2018-07-26 00:00:00",TCS,374276492,karachi,"2018-07-14 00:00:00",+53
5005651430,299.80,142.00,157.80,"2018-07-26 00:00:00",TCS,381412492,karachi,"2018-07-14 00:00:00",+53
5005646176,218.80,40.00,178.80,"2018-07-30 00:00:00",TCS,388546162,karachi,"2018-07-04 00:00:00",+63
5005646153,2248.75,2106.00,142.75,"2018-07-30 00:00:00",TCS,326236162,karachi,"2018-07-04 00:00:00",+63
5005654460,234.50,55.00,179.50,"2018-07-26 00:00:00",TCS,388824292,karachi,"2018-07-14 00:00:00",+53
5005654982,457.79,300.00,157.79,"2018-07-26 00:00:00",TCS,391754292,karachi,"2018-07-16 00:00:00",+51
5005652950,349.00,191.00,158.00,"2018-07-26 00:00:00",TCS,387928492,karachi,"2018-07-16 00:00:00",+51
